,State,FIPS Code,County,Republicans 2016,Democrats 2016,Republicans 2012,Republicans 2008,Democrats 2012,Democrats 2008,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,White Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Latino Population,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool Enrollment,Poverty Rate,Gini Coefficient,Professional Occupations,Service Occupations,Sales and Office Occupations,"Farming, Fishing, and Forestry Occupations",Construction Occupations,Manufacturing and Transportation Occupations,Racial Homogenity,Median Age,Sick Days,Mental Health Days,Low Birthweight,Teen Birth Rate,Children in Single Parent Households,Adult Smoking,Adult Obesity,Diabetes,STD Rate,HIV Rate,Uninsured,Unemployment,Violent Crime Rate,Homicide Rate,Injury/Death Rate,Infant Mortality,Classification,Area_Name,Rural-urban_Continuum_Code_2003,Urban_Influence_Code_2003,Rural-urban_Continuum_Code_2013,Urban_Influence_Code_2013,POVALL_2016,CI90LBAll_2016,CI90UBALL_2016,PCTPOVALL_2016,CI90LBALLP_2016,CI90UBALLP_2016,POV017_2016,CI90LB017_2016,CI90UB017_2016,PCTPOV017_2016,CI90LB017P_2016,CI90UB017P_2016,POV517_2016,CI90LB517_2016,CI90UB517_2016,PCTPOV517_2016,CI90LB517P_2016,CI90UB517P_2016,MEDHHINC_2016,CI90LBINC_2016,CI90UBINC_2016,POV05_2016,CI90LB05_2016,CI90UB05_2016,PCTPOV05_2016,CI90LB05P_2016,CI90UB05P_2016,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
0,AL,4905,Autauga County,74.5565,23.5315,69.646,74.6995,29.6805,23.147,13.55,85.8055,23.89,6.7665,77.6315,29625.228499999997,72.339,19.5685,1.5751,0.55565,1.362,3.4209,21.444499999999998,9.953,74227.396,42.30800000000001,11.4295,0.4065,29.4115,17.057,28.811999999999998,0.6504000000000001,10.9925,12.0335,0.6585,35.725,4.9565,3.4085,0.08895,40.9375,0.2885,0.20700000000000002,0.294,0.1195,497.3,186.92649999999998,0.1275,0.05865,261.7815,4.2445,66.405,8.4845,Republican,Autauga County,1.796,1.911,1.796,1.911,11930.243499999999,11259.991999999998,12431.153,14.5,9.963999999999999,17.75,3938.0460000000003,3742.8155,4213.1945000000005,19.9615,15.5335,24.125,2769.2019999999998,2580.155,2920.042,19.1,15.1765,23.192500000000003,51841.353,49212.0885,61247.293999999994,,,,,,,Autauga County,1.796,1.911,1.796,1.911,13735.264,9473.8045,3874.374,3752.187,53.2915,29.799999999999997,6.7665,7.1105,10685.113500000001,10871.411,6153.3175,6415.7975,39.8,33.35,11.600000000000001,11.706,10430.7375,10136.545,10663.0825,9583.629,28.938499999999998,32.488,23.529,15.018999999999998,10471.2095,10330.490000000002,12090.705,12566.225,23.025,33.8125,25.725,18.619999999999997,8844.450499999999,11944.8295,14341.2505,18089.0735,12.9925,34.259,28.062,24.7045
1,AL,4905,Baldwin County,74.5565,23.5315,77.136,74.6995,22.185499999999998,23.147,13.55,85.8055,28.3765,8.7,75.0,27049.122,83.0835,11.741,1.5751,0.55565,1.362,3.4209,21.444499999999998,4.266,237222.99199999997,42.30800000000001,11.4295,0.4455,32.641,17.057,27.078,0.6504000000000001,12.683499999999999,12.0335,0.7515000000000001,40.825,3.1765,3.944,0.08895,51.462500000000006,0.2885,0.20700000000000002,0.27249999999999996,0.1195,365.9,186.92649999999998,0.155,0.07314999999999999,261.7815,4.2445,78.721,5.869,Republican,Baldwin County,3.4000000000000004,5.5835,3.4000000000000004,1.911,11930.243499999999,11259.991999999998,39761.286,11.213999999999999,9.963999999999999,13.8215,3938.0460000000003,3742.8155,13424.45,19.9615,15.5335,18.375,2769.2019999999998,2580.155,9323.766,19.1,11.4115,17.423000000000002,58462.765,55669.4415,61247.293999999994,,,,,,,Baldwin County,3.4000000000000004,5.5835,3.4000000000000004,1.911,13735.264,9473.8045,3874.374,3752.187,59.675,25.4365,6.7665,7.1105,10685.113500000001,10871.411,6153.3175,6415.7975,39.8,33.35,14.0,11.706,10430.7375,10136.545,10663.0825,9583.629,28.938499999999998,32.488,23.529,18.356499999999997,10471.2095,32615.912,38556.675,12566.225,18.575000000000003,30.287499999999998,28.674999999999997,22.54,8844.450499999999,37874.426999999996,45629.0775,57360.5835,9.6455,26.847,30.644,29.531
2,AL,4905,Barbour County,49.697500000000005,47.9955,47.175,53.173,52.164500000000004,52.3305,28.235500000000002,70.3835,14.9165,6.7665,67.105,21896.908499999998,50.85,43.05,1.5751,0.55565,0.4254,3.4209,39.825,21.328,74227.396,34.6155,24.492,0.4645,26.1825,15.2615,20.141,1.9945,9.3015,27.3665,0.47250000000000003,38.275,4.9565,4.4795,0.121,72.5125,0.5509999999999999,0.239,0.381,0.14200000000000002,891.5,421.4955,0.1825,0.11649999999999999,157.06900000000002,4.2445,54.0895,12.408,Republican,Barbour County,6.6,5.5835,6.6,5.5835,11930.243499999999,11259.991999999998,12431.153,30.9285,23.893,33.4645,3938.0460000000003,3742.8155,4213.1945000000005,39.346000000000004,31.0,47.125,2769.2019999999998,2580.155,2920.042,37.5,26.4705,46.2695,31977.118000000002,29840.029499999997,34102.353,,,,,,,Barbour County,6.6,5.5835,6.6,5.5835,13735.264,9473.8045,3874.374,3752.187,66.0585,21.073,4.8335,7.1105,10685.113500000001,10871.411,6153.3175,6415.7975,52.564,25.7315,9.2,8.8185,10430.7375,10136.545,10663.0825,9583.629,44.723,26.3,17.445999999999998,11.681000000000001,10471.2095,10330.490000000002,12090.705,12566.225,36.375,33.8125,22.775,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,26.378999999999998,34.259,25.48,15.0515
3,AL,4905,Bibb County,74.5565,23.5315,69.646,74.6995,29.6805,23.147,24.5645,74.239,10.43,2.9,67.105,27049.122,72.339,19.5685,1.5751,0.55565,0.4254,3.4209,21.444499999999998,12.797,74227.396,19.231,11.4295,0.4065,19.7235,13.466000000000001,21.875,0.6504000000000001,17.7575,24.299999999999997,0.6585,38.275,4.9565,5.0145,0.1315,51.462500000000006,0.39349999999999996,0.271,0.3375,0.108,497.3,67.7655,0.155,0.07314999999999999,261.7815,6.6675,103.353,11.1,Republican,Bibb County,1.796,1.911,1.796,1.911,11930.243499999999,11259.991999999998,12431.153,21.0715,15.536,25.607,3938.0460000000003,3742.8155,4213.1945000000005,29.654,19.4,35.625,2769.2019999999998,2580.155,2920.042,28.3,22.706000000000003,34.7305,45219.941,36297.3825,47674.8235,,,,,,,Bibb County,1.796,1.911,1.796,1.911,13735.264,9473.8045,3874.374,3752.187,72.44149999999999,21.073,2.9,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,58.9455,29.5405,6.8,5.9315,10430.7375,10136.545,10663.0825,9583.629,49.9845,32.488,14.404,5.0065,10471.2095,10330.490000000002,12090.705,12566.225,36.375,37.337500000000006,19.825000000000003,6.830500000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,41.671,28.062,10.225
4,AL,4905,Blount County,91.12950000000001,7.177,84.6265,81.875,14.6905,15.8515,24.5645,74.239,10.43,4.8335,72.3685,27049.122,93.828,3.87045,1.5751,0.55565,1.362,10.408999999999999,15.317499999999999,9.953,74227.396,26.923000000000002,11.4295,0.426,22.953000000000003,15.2615,25.3435,0.6504000000000001,16.066499999999998,18.1665,0.8445,38.275,6.1435,3.944,0.07825,51.462500000000006,0.236,0.20700000000000002,0.294,0.14200000000000002,234.5,67.7655,0.1825,0.05865,157.06900000000002,4.2445,91.037,7.177,Republican,Blount County,1.796,1.911,1.796,1.911,11930.243499999999,11259.991999999998,12431.153,14.5,9.963999999999999,17.75,3938.0460000000003,3742.8155,4213.1945000000005,19.9615,15.5335,24.125,2769.2019999999998,2580.155,2920.042,19.1,11.4115,23.192500000000003,45219.941,42754.735499999995,54461.0585,,,,,,,Blount County,1.796,1.911,1.796,1.911,13735.264,9473.8045,3874.374,3752.187,72.44149999999999,21.073,4.8335,3.0475,10685.113500000001,10871.411,6153.3175,6415.7975,52.564,33.35,9.2,5.9315,10430.7375,10136.545,10663.0825,9583.629,39.4615,35.581999999999994,17.445999999999998,8.3435,10471.2095,10330.490000000002,12090.705,12566.225,27.475,37.337500000000006,25.725,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,34.259,33.226,15.0515
5,AL,4905,Bullock County,24.838,72.4595,24.7035,24.471,74.6495,74.21799999999999,24.5645,74.239,10.43,2.9,69.737,21896.908499999998,18.616500000000002,74.359,1.5751,0.55565,0.4254,3.4209,52.078500000000005,24.172,74227.396,50.0,27.758,0.5405,19.7235,15.2615,23.609,4.653499999999999,7.6105,30.4335,0.5655,38.275,4.3635,,0.14250000000000002,83.0375,0.656,0.367,0.425,0.1765,1417.1,421.4955,0.155,0.131,366.4945,,103.353,,Democrat,Bullock County,6.6,5.5835,6.6,5.5835,11930.243499999999,11259.991999999998,12431.153,34.214,23.893,41.3215,3938.0460000000003,3742.8155,4213.1945000000005,44.192,34.8665,58.625,2769.2019999999998,2580.155,2920.042,42.099999999999994,34.0,57.807500000000005,31977.118000000002,29840.029499999997,34102.353,,,,,,,Bullock County,6.6,5.5835,6.6,5.5835,13735.264,9473.8045,3874.374,3752.187,72.44149999999999,16.709,4.8335,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,58.9455,21.9225,9.2,8.8185,10430.7375,10136.545,10663.0825,9583.629,49.9845,26.3,14.404,8.3435,10471.2095,10330.490000000002,12090.705,12566.225,40.825,33.8125,16.875,6.830500000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,33.072500000000005,34.259,22.898,10.225
6,AL,4905,Butler County,57.984,39.841,54.665,53.173,44.6695,45.035,24.5645,74.239,10.43,2.9,75.0,21896.908499999998,50.85,43.05,1.5751,0.55565,0.4254,3.4209,33.6985,21.328,74227.396,34.6155,24.492,0.4645,22.953000000000003,17.057,27.078,1.9945,9.3015,24.299999999999997,0.47250000000000003,40.825,3.77,3.4085,0.09964999999999999,61.9875,0.4985,0.303,0.381,0.1655,628.7,186.92649999999998,0.155,0.10189999999999999,471.207,9.09,66.405,11.1,Republican,Butler County,6.6,5.5835,6.6,5.5835,11930.243499999999,11259.991999999998,12431.153,24.357,21.107,29.5355,3938.0460000000003,3742.8155,4213.1945000000005,39.346000000000004,27.133499999999998,41.375,2769.2019999999998,2580.155,2920.042,32.900000000000006,26.4705,40.5,38598.529500000004,29840.029499999997,40888.5885,,,,,,,Butler County,6.6,5.5835,6.6,5.5835,13735.264,9473.8045,3874.374,3752.187,72.44149999999999,21.073,4.8335,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,52.564,29.5405,9.2,8.8185,10430.7375,10136.545,10663.0825,9583.629,44.723,29.394,14.404,8.3435,10471.2095,10330.490000000002,12090.705,12566.225,31.924999999999997,33.8125,22.775,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,41.671,25.48,15.0515
7,AL,4905,Calhoun County,66.27,31.686500000000002,62.155499999999996,67.524,37.175,30.443,20.893,78.09450000000001,14.9165,6.7665,75.0,24473.0155,72.339,19.5685,1.5751,0.55565,1.362,3.4209,27.5715,9.953,74227.396,34.6155,17.961,0.4455,29.4115,15.2615,23.609,0.6504000000000001,10.9925,21.2335,0.5655,38.275,4.9565,5.0145,0.08895,51.462500000000006,0.39349999999999996,0.239,0.3375,0.14200000000000002,628.7,186.92649999999998,0.1825,0.07314999999999999,575.9195,11.5125,78.721,8.4845,Republican,Calhoun County,3.4000000000000004,1.911,3.4000000000000004,1.911,11930.243499999999,11259.991999999998,12431.153,17.786,15.536,21.6785,3938.0460000000003,3742.8155,4213.1945000000005,24.808,19.4,29.875,2769.2019999999998,2580.155,2920.042,23.7,18.9415,28.9615,38598.529500000004,36297.3825,47674.8235,,,,,,,Calhoun County,3.4000000000000004,1.911,3.4000000000000004,1.911,43453.0385,9473.8045,3874.374,3752.187,59.675,25.4365,6.7665,7.1105,33997.356,10871.411,6153.3175,6415.7975,46.182,33.35,14.0,11.706,33756.4315,32111.547,10663.0825,9583.629,34.2,29.394,23.529,15.018999999999998,10471.2095,32615.912,12090.705,12566.225,27.475,33.8125,25.725,14.7,8844.450499999999,11944.8295,14341.2505,18089.0735,16.339,30.552999999999997,33.226,19.878
8,AL,4905,Chambers County,57.984,39.841,54.665,53.173,44.6695,45.035,28.235500000000002,70.3835,10.43,2.9,75.0,24473.0155,61.5945,35.222500000000004,1.5751,0.55565,1.362,3.4209,33.6985,15.6405,74227.396,65.3845,17.961,0.426,22.953000000000003,13.466000000000001,25.3435,0.6504000000000001,12.683499999999999,24.299999999999997,0.47250000000000003,40.825,4.9565,4.4795,0.121,61.9875,0.4985,0.239,0.359,0.154,760.0999999999999,304.211,0.1825,0.0876,575.9195,9.09,78.721,7.177,Republican,Chambers County,6.6,5.5835,6.6,5.5835,11930.243499999999,11259.991999999998,12431.153,21.0715,15.536,25.607,3938.0460000000003,3742.8155,4213.1945000000005,34.5,23.2665,41.375,2769.2019999999998,2580.155,2920.042,32.900000000000006,22.706000000000003,40.5,38598.529500000004,36297.3825,40888.5885,,,,,,,Chambers County,6.6,5.5835,6.6,5.5835,13735.264,9473.8045,3874.374,3752.187,66.0585,25.4365,4.8335,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,52.564,29.5405,9.2,8.8185,10430.7375,10136.545,10663.0825,9583.629,44.723,29.394,17.445999999999998,8.3435,10471.2095,10330.490000000002,12090.705,12566.225,36.375,33.8125,22.775,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,37.965,28.062,10.225
9,AL,4905,Cherokee County,82.843,15.3765,77.136,74.6995,22.185499999999998,23.147,28.235500000000002,74.239,10.43,4.8335,69.737,27049.122,93.828,3.87045,1.5751,0.55565,1.362,3.4209,21.444499999999998,9.953,74227.396,26.923000000000002,14.695,0.4455,26.1825,15.2615,20.141,1.9945,12.683499999999999,24.299999999999997,0.8445,43.375,6.1435,5.0145,0.08895,51.462500000000006,0.236,0.239,0.316,0.1305,234.5,67.7655,0.1825,0.07314999999999999,366.4945,,78.721,,Republican,Cherokee County,8.2,5.5835,6.6,5.5835,11930.243499999999,11259.991999999998,12431.153,17.786,12.75,21.6785,3938.0460000000003,3742.8155,4213.1945000000005,29.654,19.4,35.625,2769.2019999999998,2580.155,2920.042,23.7,18.9415,34.7305,38598.529500000004,36297.3825,47674.8235,,,,,,,Cherokee County,8.2,5.5835,6.6,5.5835,13735.264,9473.8045,3874.374,3752.187,72.44149999999999,21.073,4.8335,3.0475,10685.113500000001,10871.411,6153.3175,6415.7975,58.9455,29.5405,9.2,5.9315,10430.7375,10136.545,10663.0825,9583.629,44.723,32.488,14.404,8.3435,10471.2095,10330.490000000002,12090.705,12566.225,36.375,33.8125,19.825000000000003,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,34.259,30.644,15.0515
10,AL,4905,Chilton County,82.843,15.3765,77.136,81.875,22.185499999999998,23.147,24.5645,74.239,10.43,4.8335,69.737,27049.122,83.0835,11.741,1.5751,0.55565,1.362,3.4209,27.5715,12.797,74227.396,42.30800000000001,17.961,0.4455,22.953000000000003,13.466000000000001,23.609,0.6504000000000001,17.7575,21.2335,0.6585,38.275,4.3635,5.0145,0.09964999999999999,61.9875,0.2885,0.20700000000000002,0.381,0.1195,365.9,67.7655,0.21000000000000002,0.05865,680.6320000000001,4.2445,103.353,9.792,Republican,Chilton County,1.796,1.911,1.796,1.911,11930.243499999999,11259.991999999998,12431.153,17.786,15.536,21.6785,3938.0460000000003,3742.8155,4213.1945000000005,24.808,19.4,29.875,2769.2019999999998,2580.155,2920.042,23.7,18.9415,28.9615,45219.941,42754.735499999995,47674.8235,,,,,,,Chilton County,1.796,1.911,1.796,1.911,13735.264,9473.8045,3874.374,3752.187,72.44149999999999,21.073,2.9,3.0475,10685.113500000001,10871.411,6153.3175,6415.7975,52.564,29.5405,9.2,5.9315,10430.7375,10136.545,10663.0825,9583.629,44.723,32.488,17.445999999999998,8.3435,10471.2095,10330.490000000002,12090.705,12566.225,31.924999999999997,37.337500000000006,19.825000000000003,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,41.671,22.898,15.0515
11,AL,4905,Choctaw County,57.984,39.841,54.665,53.173,44.6695,45.035,28.235500000000002,70.3835,10.43,4.8335,77.6315,21896.908499999998,50.85,43.05,1.5751,0.55565,0.4254,3.4209,21.444499999999998,21.328,74227.396,57.69199999999999,21.2265,0.4645,29.4115,11.6705,20.141,1.9945,17.7575,18.1665,0.47250000000000003,43.375,5.550000000000001,4.4795,0.121,40.9375,0.44599999999999995,0.20700000000000002,0.381,0.1765,497.3,304.211,0.1825,0.0876,157.06900000000002,,78.721,,Republican,Choctaw County,8.2,9.25,8.2,9.25,11930.243499999999,11259.991999999998,12431.153,24.357,18.3215,29.5355,3938.0460000000003,3742.8155,4213.1945000000005,34.5,23.2665,41.375,2769.2019999999998,2580.155,2920.042,28.3,22.706000000000003,40.5,31977.118000000002,29840.029499999997,34102.353,,,,,,,Choctaw County,8.2,9.25,8.2,9.25,13735.264,9473.8045,3874.374,3752.187,66.0585,21.073,4.8335,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,52.564,29.5405,9.2,5.9315,10430.7375,10136.545,10663.0825,9583.629,44.723,32.488,14.404,8.3435,10471.2095,10330.490000000002,12090.705,12566.225,36.375,33.8125,19.825000000000003,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,37.965,30.644,10.225
12,AL,4905,Clarke County,57.984,47.9955,54.665,53.173,44.6695,45.035,24.5645,74.239,14.9165,4.8335,75.0,27049.122,50.85,43.05,1.5751,0.55565,0.4254,3.4209,33.6985,24.172,74227.396,50.0,27.758,0.5215000000000001,26.1825,13.466000000000001,21.875,1.9945,10.9925,24.299999999999997,0.47250000000000003,38.275,4.3635,2.8735,0.1315,40.9375,0.4985,0.14300000000000002,0.359,0.154,760.0999999999999,67.7655,0.1825,0.11649999999999999,471.207,9.09,66.405,9.792,Republican,Clarke County,6.6,11.0835,6.6,11.0835,11930.243499999999,11259.991999999998,12431.153,27.643,23.893,33.4645,3938.0460000000003,3742.8155,4213.1945000000005,39.346000000000004,34.8665,47.125,2769.2019999999998,2580.155,2920.042,32.900000000000006,26.4705,40.5,31977.118000000002,29840.029499999997,34102.353,,,,,,,Clarke County,6.6,11.0835,6.6,11.0835,13735.264,9473.8045,3874.374,3752.187,59.675,25.4365,6.7665,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,52.564,29.5405,9.2,8.8185,10430.7375,10136.545,10663.0825,9583.629,39.4615,32.488,17.445999999999998,11.681000000000001,10471.2095,10330.490000000002,12090.705,12566.225,27.475,37.337500000000006,19.825000000000003,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,45.376999999999995,22.898,10.225
13,AL,4905,Clay County,82.843,15.3765,69.646,74.6995,29.6805,23.147,28.235500000000002,70.3835,10.43,2.9,75.0,27049.122,83.0835,11.741,1.5751,0.55565,2.27,3.4209,27.5715,15.6405,74227.396,57.69199999999999,17.961,0.426,22.953000000000003,11.6705,18.4065,3.324,16.066499999999998,27.3665,0.6585,40.825,6.1435,5.55,0.1105,51.462500000000006,0.34099999999999997,0.271,0.359,0.14200000000000002,497.3,186.92649999999998,0.1825,0.0876,261.7815,,66.405,,Republican,Clay County,8.2,9.25,8.2,9.25,11930.243499999999,11259.991999999998,12431.153,17.786,15.536,21.6785,3938.0460000000003,3742.8155,4213.1945000000005,29.654,23.2665,35.625,2769.2019999999998,2580.155,2920.042,23.7,18.9415,34.7305,38598.529500000004,36297.3825,40888.5885,,,,,,,Clay County,8.2,9.25,8.2,9.25,13735.264,9473.8045,3874.374,3752.187,66.0585,25.4365,4.8335,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,52.564,33.35,9.2,5.9315,10430.7375,10136.545,10663.0825,9583.629,44.723,32.488,14.404,8.3435,10471.2095,10330.490000000002,12090.705,12566.225,31.924999999999997,37.337500000000006,19.825000000000003,6.830500000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,26.378999999999998,34.259,28.062,10.225
14,AL,4905,Cleburne County,91.12950000000001,7.177,84.6265,81.875,14.6905,15.8515,28.235500000000002,70.3835,10.43,2.9,72.3685,21896.908499999998,93.828,3.87045,1.5751,0.55565,1.362,3.4209,15.317499999999999,15.6405,74227.396,57.69199999999999,17.961,0.426,22.953000000000003,15.2615,20.141,1.9945,17.7575,21.2335,0.8445,40.825,6.1435,5.0145,0.08895,51.462500000000006,0.2885,0.175,0.316,0.1305,234.5,67.7655,0.155,0.07314999999999999,261.7815,11.5125,91.037,,Republican,Cleburne County,8.2,3.75,8.2,3.75,11930.243499999999,11259.991999999998,12431.153,17.786,12.75,21.6785,3938.0460000000003,3742.8155,4213.1945000000005,24.808,19.4,29.875,2769.2019999999998,2580.155,2920.042,23.7,18.9415,28.9615,45219.941,36297.3825,47674.8235,,,,,,,Cleburne County,8.2,3.75,8.2,3.75,13735.264,9473.8045,3874.374,3752.187,72.44149999999999,21.073,4.8335,3.0475,10685.113500000001,10871.411,6153.3175,6415.7975,58.9455,25.7315,4.3854999999999995,5.9315,10430.7375,10136.545,10663.0825,9583.629,49.9845,29.394,14.404,5.0065,10471.2095,10330.490000000002,12090.705,12566.225,36.375,37.337500000000006,16.875,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,26.378999999999998,37.965,25.48,10.225
15,AL,4905,Coffee County,74.5565,23.5315,77.136,74.6995,22.185499999999998,23.147,20.893,78.09450000000001,23.89,8.7,72.3685,27049.122,72.339,19.5685,1.5751,0.55565,2.27,3.4209,27.5715,12.797,74227.396,34.6155,17.961,0.4455,32.641,13.466000000000001,23.609,1.9945,12.683499999999999,15.1,0.5655,38.275,3.77,3.4085,0.08895,51.462500000000006,0.34099999999999997,0.175,0.294,0.1305,628.7,186.92649999999998,0.1825,0.05865,366.4945,4.2445,66.405,9.792,Republican,Coffee County,6.6,5.5835,3.4000000000000004,5.5835,11930.243499999999,11259.991999999998,12431.153,14.5,12.75,17.75,3938.0460000000003,3742.8155,4213.1945000000005,19.9615,15.5335,24.125,2769.2019999999998,2580.155,2920.042,19.1,15.1765,23.192500000000003,51841.353,42754.735499999995,54461.0585,,,,,,,Coffee County,6.6,5.5835,3.4000000000000004,5.5835,13735.264,9473.8045,3874.374,3752.187,59.675,25.4365,6.7665,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,46.182,29.5405,14.0,11.706,10430.7375,10136.545,10663.0825,9583.629,34.2,26.3,23.529,15.018999999999998,10471.2095,10330.490000000002,12090.705,12566.225,27.475,26.7625,28.674999999999997,18.619999999999997,8844.450499999999,11944.8295,14341.2505,18089.0735,16.339,30.552999999999997,33.226,24.7045
16,AL,4905,Colbert County,66.27,31.686500000000002,62.155499999999996,60.3485,37.175,37.739000000000004,20.893,81.95,14.9165,6.7665,75.0,27049.122,83.0835,19.5685,1.5751,0.55565,1.362,3.4209,27.5715,9.953,74227.396,34.6155,14.695,0.426,26.1825,15.2615,27.078,0.6504000000000001,10.9925,18.1665,0.6585,40.825,4.3635,5.0145,0.09964999999999999,51.462500000000006,0.34099999999999997,0.303,0.316,0.14200000000000002,628.7,67.7655,0.155,0.07314999999999999,366.4945,6.6675,78.721,8.4845,Republican,Colbert County,3.4000000000000004,1.911,3.4000000000000004,1.911,11930.243499999999,11259.991999999998,12431.153,17.786,12.75,21.6785,3938.0460000000003,3742.8155,4213.1945000000005,24.808,19.4,29.875,2769.2019999999998,2580.155,2920.042,23.7,18.9415,28.9615,45219.941,42754.735499999995,47674.8235,,,,,,,Colbert County,3.4000000000000004,1.911,3.4000000000000004,1.911,13735.264,9473.8045,3874.374,3752.187,53.2915,29.799999999999997,8.7,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,46.182,33.35,11.600000000000001,8.8185,10430.7375,10136.545,10663.0825,9583.629,34.2,32.488,20.487499999999997,11.681000000000001,10471.2095,10330.490000000002,12090.705,12566.225,27.475,33.8125,25.725,14.7,8844.450499999999,11944.8295,14341.2505,18089.0735,16.339,34.259,30.644,19.878
17,AL,4905,Conecuh County,49.697500000000005,47.9955,47.175,53.173,52.164500000000004,52.3305,28.235500000000002,70.3835,10.43,4.8335,72.3685,21896.908499999998,50.85,43.05,1.5751,0.55565,0.4254,3.4209,52.078500000000005,21.328,74227.396,34.6155,31.0235,0.4835,22.953000000000003,15.2615,25.3435,0.6504000000000001,10.9925,24.299999999999997,0.47250000000000003,43.375,4.3635,5.0145,0.121,51.462500000000006,0.4985,0.239,0.359,0.1765,628.7,304.211,0.1825,0.11649999999999999,575.9195,11.5125,115.6685,,Republican,Conecuh County,8.2,11.0835,6.6,11.0835,11930.243499999999,11259.991999999998,12431.153,27.643,21.107,33.4645,3938.0460000000003,3742.8155,4213.1945000000005,44.192,34.8665,52.875,2769.2019999999998,2580.155,2920.042,42.099999999999994,30.235500000000002,52.0385,31977.118000000002,29840.029499999997,34102.353,,,,,,,Conecuh County,8.2,11.0835,6.6,11.0835,13735.264,9473.8045,3874.374,3752.187,72.44149999999999,21.073,4.8335,5.079,10685.113500000001,10871.411,6153.3175,6415.7975,58.9455,29.5405,6.8,5.9315,10430.7375,10136.545,10663.0825,9583.629,44.723,32.488,14.404,5.0065,10471.2095,10330.490000000002,12090.705,12566.225,31.924999999999997,37.337500000000006,19.825000000000003,10.780000000000001,8844.450499999999,11944.8295,14341.2505,18089.0735,19.6855,45.376999999999995,25.48,10.225
